title,author,publisher,publication_year,call_number,ISBN
느림의 발견,스텐 나돌니 지음 ; 유종휘 옮김,푸른물결,1998,853 나25느,8987962067
단순하게 더 단순하게,기젤라 크레머 지음;이민수 옮김,참솔,2000,854 크298단,9788988430149
(토플에 자주 나오는)TOEFL 1000단어,정연재 편저,영어포럼,2002,744 정94토,9788988891063
오래된 정원. 하,황석영 지음,창작과비평사,2003,813.6 황53오 v.2,9788936433376
오래된 정원. 상,황석영 지음,창작과비평사,2003,813.6 황53오 v.1,9788936433376
샘솟는 분수,마틴 발저 지음;구승모 옮김,종문화사,2001,853 발62샘,9788987444239
창백한 개,하인리히 뵐 지음;정인모 옮김,작가정신,1999,853 뵐72창,8972881058
(헬가 게버트의)그림동화,헬가 게버트 엮음;안영란 옮김,샘터,2000,853 게43그,9788946400870
그리움이 가득 찬 가방 두개,르나테 괴쉘...[등]지음;이영희 옮김,새로운 사람들,1996,853 괴58그,8981200505
책상은 책상이다,페터 빅셀 지음;김창주 옮김,하늘연못,1996,858 빅58책ㅎ,8987115054
박쥐,마르셀 바이어 지음;이용숙 옮김,현암사,1999,853 바97박,8932310114
힌쩨와 쿤쩨,폴 브라운 지음;최석희 옮김,성균관대학교 출판부,1999,852 브292힌,8979862199
너의 용기만큼 큰산,군터 프로이스 지음;변영미 옮김,사계절,2002,853 프295너 c.4,8971969237
끝없는 이야기. 2,미카엘 엔데 지음;차경아 옮김,문예출판사,1996,853 엔28끝ㅁ v.2,8931002882
끝없는 이야기. 1,미카엘 엔데 지음;차경아 옮김,문예출판사,1996,853 엔28끝ㅁ v.1,8931002874
"베른하르트,죽음을 넘어선 글쓰기",한스 휠러 지음;이상욱;류은희 [같이]옮김,한길사,2001,858 휠293베,8935652776
당신은 내 마음의 텍스트:맨발의 이사도라 덩컨과 젊은 시인 예세닌,카롤라 슈테른 지음;최상안 옮김,한길사,1999,858 슈688당,8935651931
가수의 등장연설,볼프 비어만 지음;전영애 옮김,세계사,1992,851 비93가,9788933840221
베르트람 아저씨는 어디에?,쿠르트 쿠젠베르크 지음;김지선 옮김,시공사,2002,853 쿠65베,8952717872
홀로 사막을 걷다,박연신 지음,여백,2005,814.6 박94홀,8958660139
향수,파트리크 쥐스킨트 지음;강명순 옮김,열린책들,2006,853 쥐56향,8932903182
하케의 동물 이야기,악셀 하케 글;미하엘 소바 그림;이영희 옮김,창해,2002,857 하678하,8979193335
거꾸로 가는 교실,알렉산더 볼프 지음;설영환 옮김,소학사,2000,853 볼696거,8971911700
수학 귀신,한스 마그누스 엔젠스베르거 지음 ; 고영아 옮김 ; 로트라우트 수잔네 베르너 그림,비룡소,1998,853 엔65수 v.1 c.2,894919001X
길 위의 소년,페터 헤르틀링 지음;페터 크노르 그림;문성원 옮김,소년한길,2002,853 헤296길,893565373X
인생,미하델 엔데 지음;김남경 옮김,청조사,1999,853 엔28인,8973220810
시간과 방,보토 슈트라우스 지음;김형기 옮김,성균관대학교 출판부,1999,852 슈686시,8979862172
책벌레,클라스 후이징 지음;박민수 옮김,문학동네,2003,853 후97책,8982814582
The Heinle & Heinle TOEFL Test Assistant: Vocabulary. [3],Milada Broukal 지음,THOMSON HEINLE,1995,747 B875,0838442803
The Heinle & Heinle TOEFL Test Assistant: Reading. [2],by Milada Broukal,THOMSON HEINLE,1994,747 B875,0838442765
The Heinle & Heinle TOEFL Test Assistant: Listening,Milada Broukal 지음,THOMSON HEINLE,1995,747 B875,0838446973
(Longman)Essay Writing for the TOEFL Test,박광희 지음,Longman,2003,747 박18에,8945090304
학여울 산조,김순오 지음,마을,2003,811.6 김56학 c.2,8983871296
학여울 산조,김순오 지음,마을,2003,811.6 김56학,8983871296
춘곡 고희동,고희동 [그림],서울대학교 박물관,2005,653.11 ㄱ416ㅊ,
인류민속도록,서울대학교박물관 [편],서울대학교 박물관,1999,380.911 서96인,
한국생활사박물관. 9: 조선생활관1,한국생활사박물관편찬위원회 지음,사계절,2003,911.0069 한16한 v.9,8971966904
매화,이어령,생각의 나무,2003,380.91 이93매,8984982903
위대한 아시아인,윤상인 [등]엮음,황금가지,2003,991 위28,8982734643
(그림과 함께 읽는)서양 문화의 역사. Ⅳ: 현대편,로버트 램 지음;이희재 옮김,사군자,2001,920 램295서 v.4,9788989751038
(그림과 함께 읽는)서양 문화의 역사. Ⅲ: 근대편,로버트 램 지음;이희재 옮김,사군자,2001,920 램295서 v.3,9788989751021
고구려,서울대학교박물관 [편],서울대학교박물관,2000,911.032 서96고,
화엄경강의. 하,안덕암 저,불교통신대학,2003,223.55 안23화 v.3,9788989842279
화엄경강의. 중,안덕암 저,불교통신대학,2003,223.55 안23화 v.2,9788989842279
화엄경강의. 상,안덕암 [저],불교통신대학,2003,223.55 안23화 v.1,9788989842279
근세복식과 우리문화,경운박물관 편저,경운회,2003,381.30911 경96근 c.2,
근세복식과 우리문화,경운박물관 편저,경운회,2003,381.30911 경96근,
성경전서,대한성공회 편,대한성공회,1995,233 대72성,
내 마음속 신록,이원임,북나비,2010,814.6 이98내,9788993682151
우리가 만들어 가는 세상,서울특별시 [편],서울특별시,2002,810.82 우297서 c.2,
우리가 만들어 가는 세상,서울특별시 [편],서울특별시,2002,810.82 우297서,
희망을 지피는 이야기,민주화운동기념사업회 [편],민주화운동기념사업회,2002,029.85 희32,
(연중행사를 중심으로 엮은)북한 사회의 이해,서울특별시교육과학연구원 [편],서울특별시교육과학연구원,2002,386.511 서96북,
배드민턴은 나의 인생,송수남 지음,국민체육진흥공단,2002,695.59 ㅅ558ㅂ c.2,
사각 링에 펼쳐진 인생들,노기창 지음,국민체육진흥공단,2002,698.33 ㄴ63ㅅ c.2,
사각 링에 펼쳐진 인생들,노기창 지음,국민체육진흥공단,2002,698.33 ㄴ63ㅅ,
세계를 향한 도전과 창의,조광식 지음,국민체육진흥공단,2002,695.1 ㅈ584ㅅ c.2,
세계를 향한 도전과 창의,조광식 지음,국민체육진흥공단,2002,695.1 ㅈ584ㅅ,
배드민턴은 나의 인생,송수남 지음,국민체육진흥공단,2002,695.59 ㅅ558ㅂ,
고래,천명관,문학동네,2010,813.6 천34래,9788982819278
발굴유물도록,서울대학교박물관 지음,서울대학교박물관,1997,911.02 서96박,
길고 긴 여름날 1950년 6월 25일,백선엽,지구촌,2003,911.0723 백53길,9788985631419
오늘 나는 푸른색 풍선이 되어 도시를 헤매었네,오신,도서출판 해울,2010,811.6 오57오,9788994501109
학교아빠,전원하 지음,이루파,2003,818 전98학,8973510665
(사진집)실크로드. 6: 코카서스.시리아.터키.그리스.이탈리아,NHK취재반 [촬영.해설;이명성 역],서린문화사,1987,668.891 엔98실 v.6,
(사진집)실크로드. 5: 소련~중앙아시아,NHK취재반 [촬영.해설;이명성 역],서린문화사,1987,668.891 엔98실 v.5,
(사진집)실크로드. 4: 파키스탄·인도·이란·이라크,NHK취재반 [촬영.해설;이명성 역],서린문화사,1987,668.891 엔98실 v.4,
(사진집)실크로드. 3: 서역남도,NHK취재반 촬영.해설;이명성 역,서린문화사,1987,668.891 엔98실 v.3,
